iter,workload,rt
809,540,366.53
810,610,372.57
811,510,366.69
812,560,392.44
813,520,383.73
814,570,389.24
815,610,413.75
816,470,383.75
817,620,382.95
818,500,396.19
819,730,410.8
820,480,345.56
821,540,394.53
822,550,412.35
823,770,394.7
824,450,379.93
825,570,369.22
826,550,380.39
827,650,397.1
828,590,396.85
829,500,414.12
830,570,385.5
831,880,405.86
832,420,379.93
833,560,367.32
834,730,383.5
835,650,379.26
836,540,396.83
837,840,369.77
838,600,359.25
839,510,402.29
840,570,375.42
841,500,409.2
842,790,432.88
843,640,406.78
844,610,389.11
845,620,367.53
846,690,366.04
847,790,368.54
848,470,404.94
849,650,389.14
850,710,368.86
851,690,385.55
852,590,413.36
853,640,362.37
854,730,379.58
855,700,395.75
856,730,373.65
857,460,398.19
858,670,399.1
859,820,388.33
860,690,396
861,570,384.4
862,560,405.44
863,720,399.65
864,720,423.52
865,850,380.27
866,580,398.1
867,690,375.95
868,740,361.63
869,710,399.96
870,560,377
871,780,379.92
872,910,404.42
873,510,392.95
874,620,397.85
875,770,370.33
876,750,396.62
877,770,411.39
878,680,363.29
879,650,376
880,800,384.04
881,760,422.19
882,530,400
883,740,400.61
884,680,409.39
885,780,437.64
886,700,396.27
887,740,418.42
888,850,380.19
889,530,411.4
890,790,396.42
891,710,416.5
892,810,389.92
893,660,415.55
894,1010,398.79
895,400,374
896,920,403
897,760,383.15
898,960,403.94
899,460,380.21
900,940,366.25
901,710,402.5
902,640,400.79
903,780,417.07
904,590,400.52
905,1000,419.53
906,920,395.87
907,630,387.29
908,680,366.12
909,660,395.53
910,830,395.5
911,910,412.27
912,570,399.59
913,830,386.07
914,710,400.73
915,840,407.96
916,810,397.64
917,650,380.82
918,740,379.25
919,600,407.33
920,850,414.2
921,780,405.72
922,870,383.23
923,740,400
924,650,378.45
925,760,418.58
926,950,380.71
927,850,382.41
928,550,378.06
929,720,358
930,1120,386.3
931,810,403.69
932,540,365.89
933,780,342.5
934,830,373.89
935,690,432.26
936,820,384.39
937,860,400.03
938,700,393.5
939,540,397.17
940,910,384.84
941,930,395.87
942,740,399.68
943,640,378.64
944,750,374.09
945,910,367.44
946,790,414.54
947,600,394.45
948,830,371.22
949,880,384.21
950,790,385.85
951,700,379.39
952,620,367.25
953,840,410.68
954,740,409.09
955,780,405.67
956,770,401.73
957,810,374.27
958,700,403.48
959,850,373.14
960,800,404.27
961,720,380.62
962,580,399.21
963,880,394.16
964,590,426.53
965,1080,394.89
966,630,379.1
