iteration,workload,measured-rt(average)
727,980,2297
728,918,2275
729,895,2347
730,938,2391
731,1228,2382
732,1054,2312
733,1180,2031
734,1062,2113
735,1094,2053
736,1060,2043
737,1148,2043
738,1127,1898
739,1156,1789
740,1066,1653
741,1172,1648
742,1244,1445
743,1215,1249
744,1014,1150
745,1043,1067
746,1066,1089
747,1044,997
748,1006,986
749,1001,991
750,1097,954
751,1035,775
752,1035,768
753,987,845
754,978,802
755,882,835
756,1009,860
757,1065,952
758,1157,816
759,922,734
760,961,754
761,976,857
762,1031,851
763,963,826
764,1055,831
765,954,739
766,985,748
767,988,739
768,963,607
769,1002,727
770,911,703
771,1090,730
772,1000,655
773,1085,683
774,1072,441
775,945,465
776,1108,398
777,1093,389
778,1082,82
779,984,18
780,1050,16
781,1057,18
782,1021,18
783,987,18
784,1022,15
785,1092,19
786,1100,18
787,1115,20
788,1025,18
789,1025,18
790,1049,21
791,1008,20
792,1075,16
793,1070,19
794,1025,16
795,1035,16
796,1041,16
797,1032,16
798,1089,18
799,1021,17
800,1052,15
801,1038,18
802,1066,17
803,984,16
804,1079,17
805,1025,15
806,1011,16
807,1040,17
808,1043,17
809,971,18
810,942,16
811,1003,15
812,1037,17
813,1007,17
814,997,18
815,952,17
816,983,18
817,944,17
818,953,15
819,968,17
820,932,60
821,933,15
822,949,16
823,1019,16
824,940,16
825,922,15
826,897,15
827,985,16
828,915,15
829,996,17
830,978,17
831,999,15
832,929,13
833,926,16
834,967,17
835,888,14
836,951,15
837,909,15
838,968,17
839,977,17
840,916,15
841,954,16
842,1041,19
843,964,14
844,1024,16
845,964,13
846,972,14
847,936,14
848,1009,16
849,997,17
850,975,17
851,926,13
852,976,16
853,950,16
854,1033,16
855,998,16
856,914,15
857,907,15
858,951,19
859,957,15
860,1002,15
861,932,16
862,958,17
863,952,14
864,888,14
865,986,15
866,1015,16
867,1026,19
868,986,16
869,963,16
870,991,15
871,888,15
872,1053,17
873,1012,15
874,1033,15
875,999,16
876,1004,16
877,1011,17
878,987,16
879,1005,16
880,946,14
881,929,17
882,991,17
883,1025,21
884,1078,21
885,1028,16
886,1089,17
887,1058,19
888,1003,15
889,1053,15
890,982,17
891,1051,18
892,700,25
893,215,357
894,249,1102
895,317,2116
896,503,2409
897,768,2941
898,896,2923
899,796,3731
900,2257,3960
901,865,3960
902,785,3960
903,803,3960
904,869,3960
905,2238,3960
906,794,3960
907,764,3960
908,773,3828
909,781,3828
910,793,3828
911,798,3828
912,862,3828
913,1100,3491
914,867,3491
915,853,3491
916,842,3169
917,883,3154
918,982,3073
919,846,3121
920,1477,2670
921,3125,1416
922,1040,79
923,725,130
924,1055,285
925,1016,250
926,1002,97
927,956,18
928,1003,19
929,1034,19
930,1019,19
931,1000,17
932,1000,21
933,987,18
934,1030,19
935,934,16
936,922,17
937,945,15
938,957,16
939,954,16
940,922,16
941,694,14
942,668,14
943,682,13
944,643,13
945,650,12
946,663,13
947,660,13
948,656,12
949,661,13
950,616,12
951,675,12
952,614,12
953,706,13
954,636,12
955,700,13
956,653,13
957,681,12
958,682,14
959,645,13
960,613,13
961,632,13
962,654,13
963,657,12
964,658,12
965,623,12
966,700,12
967,682,13
968,671,13
969,667,13
970,680,13
971,675,13
972,645,13
973,631,12
974,655,13
975,650,13
976,655,12
977,682,12
978,662,12
979,651,12
980,640,12
981,624,13
982,658,14
983,692,13
984,658,12
985,654,12
986,627,12
987,677,13
988,618,12
989,580,12
990,638,13
991,687,13
992,689,13
993,608,12
994,662,13
995,691,13
996,700,14
997,650,12
998,695,13
999,637,13
1000,649,12
,,490.279
